point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_baseline,E_tb_2_baseline,E_tb_3_baseline,E_tb_1_compressed,E_tb_2_compressed,E_tb_3_compressed
145,11.06616627529733,-32.15510869682558,-50.82488910973731,-0.4824405142021975,-12.103129929137818,-59.026642992485776,10.43657857405261,-31.072846331762726,-51.518411243109384
146,11.16268103888705,-32.279379262852,-50.77654300306618,-0.5106377715807621,-11.971212773842163,-59.13090539836443,10.693921431617616,-31.23981194559262,-51.60441373771106
147,11.25765692766164,-32.40136929962325,-50.72986651090578,-0.5352411015431844,-11.845747317093629,-59.23224524080345,10.961472389678399,-31.422790201443288,-51.68428922746593
148,11.35115887734487,-32.52106586899354,-50.68491929618122,-0.5558323104999373,-11.72712653104871,-59.3306544058718,11.241414161767691,-31.623922776658706,-51.75801445966344
149,11.44324828450197,-32.63846976202323,-50.64174331719647,-0.5719936231576591,-11.615741176029033,-59.426128145620254,11.535965173110338,-31.845387978326748,-51.82556955575745
150,11.53398272275912,-32.75359526973187,-50.60036279610351,-0.5833143776698326,-11.511973368492484,-59.51866485091885,11.847303682913445,-32.089326797174934,-51.886935496695166
151,11.62341567195651,-32.86646981369691,-50.56078434065977,-0.5990074876330285,-11.614590891751266,-59.40018354618511,11.960632891511784,-32.165010362268504,-51.917919558744046
152,11.71159626210732,-32.97713343527905,-50.52299722234108,-0.6118268818751448,-11.726620005431188,-59.27480253473475,12.091818597291219,-32.258698820972086,-51.948002625205554
153,11.79856903401812,-33.08563814454213,-50.48697381157356,-0.6217376500622648,-11.847424974748362,-59.143165583379655,12.243201595116215,-32.37111937587843,-51.97874916011118
154,11.88437371839075,-33.19204713224413,-50.45267016850472,-0.6287175551236859,-11.976337110773832,-59.00594192246322,12.41669555170837,-32.5024378364774,-52.01186393810362
155,11.96904503517055,-33.29643385052874,-50.42002678542518,-0.6327576807412977,-12.112658649529838,-58.863821720241305,12.61366076892317,-32.65218988334715,-52.049134487152415
156,12.05261251482824,-33.39888097006407,-50.38896947475762,-0.6338628338195698,-12.255667234649664,-58.717511175677345,12.834777316817751,-32.81923167337551,-52.09235361530753
157,12.13510034316645,-33.49947922328726,-50.35941039452219,-0.6320517168824931,-12.404620965733383,-58.567727252812205,13.079922843519274,-33.001716920114085,-52.143220184498404
158,12.21652723112338,-33.59832614505272,-50.33124920142848,-0.6273568933304011,-12.5587639583683,-58.415192088137715,13.348061260648215,-33.19710699651232,-52.20321777385864
159,12.29690631090865,-33.69552472329801,-50.30437432029122,-0.6198245736090037,-12.717332347578383,-58.26062711157856,13.637149220035477,-33.40221899047786,-52.27347320965633
160,12.37624505965045,-33.79118197329486,-50.2786643173594,-0.609514252702078,-12.879560654253105,-58.10474693162666,13.944067711958112,-33.613313816841035,-52.354600180963196
161,12.4545452515583,-33.88540744962207,-50.25398936440011,-0.5964982292695219,-13.044688423787326,-57.94825304566919,14.264586091094852,-33.82622247095383,-52.44653715508393
162,12.53180293941733,-33.97831171017783,-50.23021278001533,-0.5808610346501981,-13.211967037599438,-57.79182744729681,14.593365253894985,-34.03650364093622,-52.54839309288786
